objID,ra,dec,z,zErr,photoz,photozErr,u,g,r,i,zmag,err_u,err_g,err_r,err_i,err_z
1237662473691004997,236.511,36.230271,0.4890215,0.000129032,0.494718,0.022069,23.04492,21.73843,20.02633,19.13641,18.63211,0.6268209,0.0929845,0.0302038,0.01963071,0.04579585
1237662473691005160,236.43284,36.130148,0.06711904,1.641188E-05,0.063571,0.010213,18.57535,16.68849,15.81896,15.42126,15.10192,0.03342745,0.004407568,0.003352277,0.003249547,0.006766365
1237662473691005249,236.461,36.078052,0.3342295,6.001827E-05,0.336807,0.02155,22.37127,20.53617,18.83972,18.24245,17.8535,0.4164462,0.03978991,0.01415836,0.01166665,0.0289722
1237662473691005286,236.57029,36.179944,0.3350359,7.704712E-05,0.379051,0.024912,24.13908,21.40016,19.53544,18.89952,18.45151,1.227019,0.0676998,0.02000201,0.01594317,0.0383433
1237662473691005436,236.40676,36.208255,0.617524,0.0001177356,0.584594,0.03594,22.10026,21.61378,20.08721,18.95953,18.441,0.3620352,0.1073547,0.03997872,0.0211437,0.05030039
1237662473691005455,236.49501,36.296746,0.4751161,0.0001551226,0.483466,0.031801,24.32562,22.43701,20.70632,19.85405,19.30766,1.291132,0.1696281,0.05164143,0.03376642,0.0799781
1237662473691005706,236.57861,36.202574,0.6426184,0.0001261872,0.586451,0.047072,24.50626,22.07925,20.76707,19.66995,19.16884,1.152917,0.1057481,0.04694859,0.02527827,0.05992254
1237662473691070934,236.50611,36.073979,0.5023425,0.0001201038,0.519923,0.037373,22.08684,22.24745,20.54194,19.58989,19.27389,0.3280097,0.1676122,0.05301771,0.03194188,0.09292836
1237662473691070957,236.64713,36.217867,0.4611424,0.0001249428,0.48458,0.024866,22.86772,21.62127,19.9009,19.02162,18.63536,0.708299,0.109023,0.03418314,0.02243458,0.06035163
1237662473691071021,236.67248,36.199789,0.4611412,8.803297E-05,0.473012,0.021201,23.15155,21.45706,19.7389,18.89356,18.39832,0.722625,0.07600396,0.02474998,0.01696315,0.04022453
1237662473691136155,236.73109,36.068481,0.52675,0.0002325259,0.558612,0.031258,23.40505,23.38267,20.79294,19.71637,19.36452,0.8580627,0.3931159,0.05865871,0.03258642,0.09233702
1237662473691136355,236.63803,35.971592,0.3357028,6.296123E-05,0.322543,0.019253,21.78388,20.25489,18.58451,17.97127,17.63066,0.3881246,0.0465069,0.01639294,0.01379133,0.03770333
